Directorate,Merchant Category,Supplier,Merchant Code,Cost,Transaction Date
Place,Travel - Air/Rail/Road             ,LONDON MIDLAND TIC       STOURBRIDG,4112,118,13/07/2017
Place,Restaurants and Bars               ,43036840 COSTA COFFEE    WOLVERHAMP,5814,8.85,27/06/2017
Place,Restaurants and Bars               ,MURRAY COFFEE SHOP       COVENTRY  ,5814,14.7,04/07/2017
Place,Travel - Air/Rail/Road             ,LONDON MIDLAND SEL       NUNEATON  ,4112,10.1,20/07/2017
Place,Restaurants and Bars               ,NUNEATON TRAIN STATION   NUNEATON  ,5814,2.85,20/07/2017
Place,Restaurants and Bars               ,STARBUCKS                STAFFORD  ,5814,2.99,20/07/2017
People,Statutory Bodies                   ,NATIONALITY DIRECTORAT   LIVERPOOL ,9399,973,17/07/2017
People,Mail Order / Direct Selling        ,Amazon UK Retail         AMAZON.CO.,5969,22.03,27/06/2017
People,General Retail and Wholesale       ,Amazon UK Marketplace    800-279-66,5999,86.6,30/06/2017
People,General Retail and Wholesale       ,Amazon UK Marketplace    800-279-66,5999,9.83,03/07/2017
People,General Retail and Wholesale       ,Amazon UK Marketplace    800-279-66,5999,7.54,04/07/2017
People,General Retail and Wholesale       ,Amazon UK Marketplace    800-279-66,5999,107.9,04/07/2017
People,General Retail and Wholesale       ,WWW.FOTOKONIJNENBERG.    DEN HAM OV,5946,382.51,19/07/2017
People,Mail Order / Direct Selling        ,COOLERAID LTD            NEWMARKET ,7278,33,20/07/2017
People,General Retail and Wholesale       ,Amazon UK Marketplace    800-279-66,5999,2.11,20/07/2017
People,Training and Educational           ,EDUCATION & TRAINI       0203 74082,8220,200,05/07/2017
People,Books and Periodicals              ,BOOKPOINT LIMITED        ABINGDON  ,5192,180,12/07/2017
People,Mail Order / Direct Selling        ,Amazon UK Retail         AMAZON.CO.,5969,73.94,18/07/2017
People,General Retail and Wholesale       ,STHERN STRONGHOLD        COVENTRY  ,5251,48.93,19/07/2017
People,General Retail and Wholesale       ,SAINSBURYS S/MKTS        COVENTRY- ,5411,22.5,21/07/2017
