Month,Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement classification
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4256,The Range,01/06/2017,12055345,14.72 ,Materials for Family Event Day at the Poppies 30/5/17,Department Stores (5311)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Adult Social Care,1090,Asda Home Shopping,01/06/2017,12055345,63.58 ,Bread & milk,Grocery Stores/Supermarkets (5411)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Children And Education Services,3055,Amazon UK Marketplace,01/06/2017,12055345,7.70 ,to be sent by supplier,Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Children And Education Services,3055,Amazon.Co.Uk,01/06/2017,12055345,8.97 ,Supplier to send in receipt,Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Children And Education Services,3055,Amazon UK Marketplace,01/06/2017,12055345,28.80 ,Supplier to send it,Book Stores (5942)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4015,Argos Ltd,01/06/2017,12055345,11.99 ,electrical timers for central museum,Discount Stores (5310)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4015,Greater Anglia T/o,01/06/2017,12055345,45.60 ,Travel to MOLA to discuss Prittlewell Project,Passenger Railways (4112)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,7015,Booker Limited Southend O,01/06/2017,12055345,6.79 ,Refreshments for Poppies welfare unit,Caterers (5811)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,7015,Booker Limited Southend O,01/06/2017,12055345,13.84 ,Poppies Welfare unit - small bottles of drinking water,Caterers (5811)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4270,Sainsburys S/Mkts,01/06/2017,12055345,2.25 ,emergence stock needed for southchurch Library,Grocery Stores/Supermarkets (5411)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4120,Amazon UK Marketplace,01/06/2017,12055345,4.64 ,Cleaning pellets for air rifle used for Pigeon control,Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Children And Education Services,3055,Amazon UK Marketplace,01/06/2017,12055345,5.28 ,receipt to be sent by supplier,Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4120,Amazon.Co.Uk,01/06/2017,12055345,11.94 ,"Target holder for pigeon control rifle, for adjusting accuracy.",Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4256,Homebase Ltd 202,01/06/2017,12055345,4.72 ,Volunteer management,Lumber/Build. Supply Stores (5211)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Department of the Chief Executive,Central Services to the Public,2210,Paypal,01/06/2017,12055345,5.25 ,"Iphone charger for works phone to be charged in car, essential for Emergency Planning response out of hours",Misc Speciality Retail (5999)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,People,Adult Social Care,1085,B&m Retail Ltd,01/06/2017,12055345,89.97 ,Food for Delaware,Discount Stores (5310)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4120,Poundworld Retail,01/06/2017,12055345,6.00 ,Cat food for pier cat.,Discount Stores (5310)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4120,Amazon UK Marketplace,01/06/2017,12055345,9.60 ,pellets for air rifle for Pigeon control,Book Stores (5942)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Environmental And Regulatory Services,4525,Henry Higgins Fish And,01/06/2017,12055345,37.75 ,Dinner claim for EST team (x 5 officers) Bank Holiday Monday 1700 to 2300 hrs (Car cruise patrols an *,Fast Food Restaurants (5814)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4256,Nosh/ El Mexicana,01/06/2017,12055345,4.80 ,Refreshments for meeting,Eating Places/Restaurants (5812)
June,Southend-on-Sea Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,Place,Cultural And Related Services,4256,Sainsburys S/mkt,01/06/2017,12055345,9.15 ,Bottled water and materials for Family craft event at Poppies Wave on 30/5/17,Grocery Stores/Supermarkets (5411)
